nom_symptome,categorie
Anhédonie sévère,Psychologique
Anhédonie modérée,Psychologique
Anhédonie légère,Psychologique
Anhédonie persistante,Psychologique
Anhédonie intermittente,Psychologique
Anhédonie récurrente,Psychologique
Anhédonie nocturne,Psychologique
Anhédonie diurne,Psychologique
Anhédonie soudaine,Psychologique
Anhédonie progressive,Psychologique
Éruption cutanée,Dermatologique
Éruption cutanée aiguë,Dermatologique
Éruption cutanée chronique,Dermatologique
Éruption cutanée sévère,Dermatologique
Éruption cutanée modérée,Dermatologique
Éruption cutanée légère,Dermatologique
Éruption cutanée persistante,Dermatologique
Éruption cutanée intermittente,Dermatologique
Éruption cutanée récurrente,Dermatologique
Éruption cutanée nocturne,Dermatologique
Éruption cutanée diurne,Dermatologique
Éruption cutanée soudaine,Dermatologique
Éruption cutanée progressive,Dermatologique
Prurit,Dermatologique
Prurit aiguë,Dermatologique
Prurit chronique,Dermatologique
Prurit sévère,Dermatologique
Prurit modérée,Dermatologique
Prurit légère,Dermatologique
Prurit persistante,Dermatologique
Prurit intermittente,Dermatologique
Prurit récurrente,Dermatologique
Prurit nocturne,Dermatologique
Prurit diurne,Dermatologique
Prurit soudaine,Dermatologique
Prurit progressive,Dermatologique
Rougeur cutanée,Dermatologique
Rougeur cutanée aiguë,Dermatologique
Rougeur cutanée chronique,Dermatologique
Rougeur cutanée sévère,Dermatologique
Rougeur cutanée modérée,Dermatologique
Rougeur cutanée légère,Dermatologique
Rougeur cutanée persistante,Dermatologique
Rougeur cutanée intermittente,Dermatologique
Rougeur cutanée récurrente,Dermatologique
Rougeur cutanée nocturne,Dermatologique
Rougeur cutanée diurne,Dermatologique
Rougeur cutanée soudaine,Dermatologique
Rougeur cutanée progressive,Dermatologique
Sécheresse cutanée,Dermatologique
Sécheresse cutanée aiguë,Dermatologique
Sécheresse cutanée chronique,Dermatologique
Sécheresse cutanée sévère,Dermatologique
Sécheresse cutanée modérée,Dermatologique
Sécheresse cutanée légère,Dermatologique
Sécheresse cutanée persistante,Dermatologique
Sécheresse cutanée intermittente,Dermatologique
Sécheresse cutanée récurrente,Dermatologique
Sécheresse cutanée nocturne,Dermatologique
Sécheresse cutanée diurne,Dermatologique
Sécheresse cutanée soudaine,Dermatologique
Sécheresse cutanée progressive,Dermatologique
Urticaire,Dermatologique
Urticaire aiguë,Dermatologique
Urticaire chronique,Dermatologique
Urticaire sévère,Dermatologique
Urticaire modérée,Dermatologique
Urticaire légère,Dermatologique
Urticaire persistante,Dermatologique
Urticaire intermittente,Dermatologique
Urticaire récurrente,Dermatologique
Urticaire nocturne,Dermatologique
Urticaire diurne,Dermatologique
Urticaire soudaine,Dermatologique
Urticaire progressive,Dermatologique
Acné,Dermatologique
Acné aiguë,Dermatologique
Acné chronique,Dermatologique
Acné sévère,Dermatologique
Acné modérée,Dermatologique
Acné légère,Dermatologique
Acné persistante,Dermatologique
Acné intermittente,Dermatologique
Acné récurrente,Dermatologique
Acné nocturne,Dermatologique
Acné diurne,Dermatologique
Acné soudaine,Dermatologique
Acné progressive,Dermatologique
Desquamation,Dermatologique
Desquamation aiguë,Dermatologique
Desquamation chronique,Dermatologique
Desquamation sévère,Dermatologique
Desquamation modérée,Dermatologique
Desquamation légère,Dermatologique
Desquamation persistante,Dermatologique
Desquamation intermittente,Dermatologique
Desquamation récurrente,Dermatologique
Desquamation nocturne,Dermatologique
Desquamation diurne,Dermatologique
Desquamation soudaine,Dermatologique
Desquamation progressive,Dermatologique
Lésion cutanée,Dermatologique
Lésion cutanée aiguë,Dermatologique
Lésion cutanée chronique,Dermatologique
Lésion cutanée sévère,Dermatologique
Lésion cutanée modérée,Dermatologique
Lésion cutanée légère,Dermatologique
Lésion cutanée persistante,Dermatologique
Lésion cutanée intermittente,Dermatologique
Lésion cutanée récurrente,Dermatologique
Lésion cutanée nocturne,Dermatologique
Lésion cutanée diurne,Dermatologique
Lésion cutanée soudaine,Dermatologique
Lésion cutanée progressive,Dermatologique
Mal de gorge,ORL
Mal de gorge aiguë,ORL
Mal de gorge chronique,ORL
Mal de gorge sévère,ORL
Mal de gorge modérée,ORL
Mal de gorge légère,ORL
Mal de gorge persistante,ORL
Mal de gorge intermittente,ORL
Mal de gorge récurrente,ORL
Mal de gorge nocturne,ORL
Mal de gorge diurne,ORL
Mal de gorge soudaine,ORL
Mal de gorge progressive,ORL
Congestion nasale,ORL
Congestion nasale aiguë,ORL
Congestion nasale chronique,ORL
Congestion nasale sévère,ORL
Congestion nasale modérée,ORL
Congestion nasale légère,ORL
Congestion nasale persistante,ORL
Congestion nasale intermittente,ORL
Congestion nasale récurrente,ORL
Congestion nasale nocturne,ORL
Congestion nasale diurne,ORL
Congestion nasale soudaine,ORL
Congestion nasale progressive,ORL
Rhinorrhée,ORL
Rhinorrhée aiguë,ORL
Rhinorrhée chronique,ORL
Rhinorrhée sévère,ORL
Rhinorrhée modérée,ORL
Rhinorrhée légère,ORL
Rhinorrhée persistante,ORL
Rhinorrhée intermittente,ORL
Rhinorrhée récurrente,ORL
Rhinorrhée nocturne,ORL
Rhinorrhée diurne,ORL
Rhinorrhée soudaine,ORL
Rhinorrhée progressive,ORL
Éternuement,ORL
Éternuement aiguë,ORL
Éternuement chronique,ORL
Éternuement sévère,ORL
Éternuement modérée,ORL
Éternuement légère,ORL
Éternuement persistante,ORL
Éternuement intermittente,ORL
Éternuement récurrente,ORL
Éternuement nocturne,ORL
Éternuement diurne,ORL
Éternuement soudaine,ORL
Éternuement progressive,ORL
Otalgie,ORL
Otalgie aiguë,ORL
Otalgie chronique,ORL
Otalgie sévère,ORL
Otalgie modérée,ORL
Otalgie légère,ORL
Otalgie persistante,ORL
Otalgie intermittente,ORL
Otalgie récurrente,ORL
Otalgie nocturne,ORL
Otalgie diurne,ORL
Otalgie soudaine,ORL
Otalgie progressive,ORL
Bourdonnement,ORL
Bourdonnement aiguë,ORL
Bourdonnement chronique,ORL
Bourdonnement sévère,ORL
Bourdonnement modérée,ORL
Bourdonnement légère,ORL
Bourdonnement persistante,ORL
Bourdonnement intermittente,ORL
Bourdonnement récurrente,ORL
Bourdonnement nocturne,ORL
Bourdonnement diurne,ORL
Bourdonnement soudaine,ORL
Bourdonnement progressive,ORL
Enrouement,ORL
Enrouement aiguë,ORL
Enrouement chronique,ORL
Enrouement sévère,ORL
Enrouement modérée,ORL
Enrouement légère,ORL
Enrouement persistante,ORL
Enrouement intermittente,ORL
Enrouement récurrente,ORL
Enrouement nocturne,ORL
Enrouement diurne,ORL
Enrouement soudaine,ORL
Enrouement progressive,ORL
Perte auditive,ORL
Perte auditive aiguë,ORL
Perte auditive chronique,ORL
Perte auditive sévère,ORL
Perte auditive modérée,ORL
Perte auditive légère,ORL
Perte auditive persistante,ORL
Perte auditive intermittente,ORL
Perte auditive récurrente,ORL
Perte auditive nocturne,ORL
Perte auditive diurne,ORL
Perte auditive soudaine,ORL
Perte auditive progressive,ORL
Vision floue,Ophtalmologique
Vision floue aiguë,Ophtalmologique
Vision floue chronique,Ophtalmologique
Vision floue sévère,Ophtalmologique
Vision floue modérée,Ophtalmologique
Vision floue légère,Ophtalmologique
Vision floue persistante,Ophtalmologique
Vision floue intermittente,Ophtalmologique
Vision floue récurrente,Ophtalmologique
Vision floue nocturne,Ophtalmologique
Vision floue diurne,Ophtalmologique
Vision floue soudaine,Ophtalmologique
Vision floue progressive,Ophtalmologique
Douleur oculaire,Ophtalmologique
Douleur oculaire aiguë,Ophtalmologique
Douleur oculaire chronique,Ophtalmologique
Douleur oculaire sévère,Ophtalmologique
Douleur oculaire modérée,Ophtalmologique
Douleur oculaire légère,Ophtalmologique
Douleur oculaire persistante,Ophtalmologique
Douleur oculaire intermittente,Ophtalmologique
Douleur oculaire récurrente,Ophtalmologique
Douleur oculaire nocturne,Ophtalmologique
Douleur oculaire diurne,Ophtalmologique
Douleur oculaire soudaine,Ophtalmologique
Douleur oculaire progressive,Ophtalmologique
Rougeur oculaire,Ophtalmologique
Rougeur oculaire aiguë,Ophtalmologique
Rougeur oculaire chronique,Ophtalmologique
Rougeur oculaire sévère,Ophtalmologique
Rougeur oculaire modérée,Ophtalmologique
Rougeur oculaire légère,Ophtalmologique
Rougeur oculaire persistante,Ophtalmologique
Rougeur oculaire intermittente,Ophtalmologique
Rougeur oculaire récurrente,Ophtalmologique
Rougeur oculaire nocturne,Ophtalmologique
Rougeur oculaire diurne,Ophtalmologique
Rougeur oculaire soudaine,Ophtalmologique
Rougeur oculaire progressive,Ophtalmologique
Sécheresse oculaire,Ophtalmologique
Sécheresse oculaire aiguë,Ophtalmologique
Sécheresse oculaire chronique,Ophtalmologique
Sécheresse oculaire sévère,Ophtalmologique
Sécheresse oculaire modérée,Ophtalmologique
Sécheresse oculaire légère,Ophtalmologique
Sécheresse oculaire persistante,Ophtalmologique
Sécheresse oculaire intermittente,Ophtalmologique
Sécheresse oculaire récurrente,Ophtalmologique
Sécheresse oculaire nocturne,Ophtalmologique
Sécheresse oculaire diurne,Ophtalmologique
Sécheresse oculaire soudaine,Ophtalmologique
Sécheresse oculaire progressive,Ophtalmologique
Larmoiement,Ophtalmologique
Larmoiement aiguë,Ophtalmologique
Larmoiement chronique,Ophtalmologique
Larmoiement sévère,Ophtalmologique
Larmoiement modérée,Ophtalmologique
Larmoiement légère,Ophtalmologique
Larmoiement persistante,Ophtalmologique
Larmoiement intermittente,Ophtalmologique
Larmoiement récurrente,Ophtalmologique
Larmoiement nocturne,Ophtalmologique
Larmoiement diurne,Ophtalmologique
Larmoiement soudaine,Ophtalmologique
Larmoiement progressive,Ophtalmologique
Photophobie,Ophtalmologique
Photophobie aiguë,Ophtalmologique
Photophobie chronique,Ophtalmologique
Photophobie sévère,Ophtalmologique
Photophobie modérée,Ophtalmologique
Photophobie légère,Ophtalmologique
Photophobie persistante,Ophtalmologique
Photophobie intermittente,Ophtalmologique
Photophobie récurrente,Ophtalmologique
Photophobie nocturne,Ophtalmologique
Photophobie diurne,Ophtalmologique
Photophobie soudaine,Ophtalmologique
Photophobie progressive,Ophtalmologique
Diplopie,Ophtalmologique
Diplopie aiguë,Ophtalmologique
Diplopie chronique,Ophtalmologique
Diplopie sévère,Ophtalmologique
Diplopie modérée,Ophtalmologique
Diplopie légère,Ophtalmologique
Diplopie persistante,Ophtalmologique
Diplopie intermittente,Ophtalmologique
Diplopie récurrente,Ophtalmologique
Diplopie nocturne,Ophtalmologique
Diplopie diurne,Ophtalmologique
Diplopie soudaine,Ophtalmologique
Diplopie progressive,Ophtalmologique
